"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1288","Navigation from login page to registration page","LMS system","Mon May 25 11:49:48 UTC 2026","passed","Mon May 25 11:49:49 UTC 2026","Authorization","Authentication","",""
"","5384","Create course","LMS system","Mon May 25 11:49:53 UTC 2026","passed","Mon May 25 11:49:58 UTC 2026","Courses","Courses","",""
"","1533","User login with wrong email or password","LMS system","Mon May 25 11:49:44 UTC 2026","passed","Mon May 25 11:49:46 UTC 2026","Authorization","Authentication","",""
"","1424","User login with wrong email or password","LMS system","Mon May 25 11:49:46 UTC 2026","passed","Mon May 25 11:49:47 UTC 2026","Authorization","Authentication","",""
"","1523","Check displaying of empty courses list","LMS system","Mon May 25 11:49:51 UTC 2026","passed","Mon May 25 11:49:53 UTC 2026","Courses","Courses","",""
"","7035","Edit course","LMS system","Mon May 25 11:49:54 UTC 2026","passed","Mon May 25 11:50:01 UTC 2026","Courses","Courses","",""
"","1724","Registration with correct email, username and password","LMS system","Mon May 25 11:49:50 UTC 2026","passed","Mon May 25 11:49:52 UTC 2026","Registration","Authentication","",""
"","3421","User login with correct email and password","LMS system","Mon May 25 11:49:46 UTC 2026","passed","Mon May 25 11:49:49 UTC 2026","Authorization","Authentication","",""
"","1505","User login with wrong email or password","LMS system","Mon May 25 11:49:44 UTC 2026","passed","Mon May 25 11:49:45 UTC 2026","Authorization","Authentication","",""
"","1587","Check displaying of dashboard page","LMS system","Mon May 25 11:50:03 UTC 2026","passed","Mon May 25 11:50:05 UTC 2026","Dashboard","Dashboard","",""
