"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1032","User login with wrong email or password","LMS system","Wed May 06 12:34:29 MSK 2026","passed","Wed May 06 12:34:30 MSK 2026","Authorization","Authentication","",""
"","1035","Check displaying of dashboard page","LMS system","Wed May 06 12:34:42 MSK 2026","passed","Wed May 06 12:34:44 MSK 2026","Dashboard","Dashboard","",""
"","1436","Create course","LMS system","Wed May 06 12:34:38 MSK 2026","passed","Wed May 06 12:34:39 MSK 2026","Courses","Courses","",""
"","1016","User login with wrong email or password","LMS system","Wed May 06 12:34:25 MSK 2026","passed","Wed May 06 12:34:26 MSK 2026","Authorization","Authentication","",""
"","1328","User login with correct email and password","LMS system","Wed May 06 12:34:30 MSK 2026","passed","Wed May 06 12:34:31 MSK 2026","Authorization","Authentication","",""
"","1013","User login with wrong email or password","LMS system","Wed May 06 12:34:27 MSK 2026","passed","Wed May 06 12:34:28 MSK 2026","Authorization","Authentication","",""
"","1123","Navigation from login page to registration page","LMS system","Wed May 06 12:34:32 MSK 2026","passed","Wed May 06 12:34:33 MSK 2026","Authorization","Authentication","",""
"","1918","Edit course","LMS system","Wed May 06 12:34:40 MSK 2026","passed","Wed May 06 12:34:42 MSK 2026","Courses","Courses","",""
"","1094","Check displaying of empty courses list","LMS system","Wed May 06 12:34:36 MSK 2026","passed","Wed May 06 12:34:37 MSK 2026","Courses","Courses","",""
"","1150","Registration with correct email, username and password","LMS system","Wed May 06 12:34:33 MSK 2026","passed","Wed May 06 12:34:34 MSK 2026","Registration","Authentication","",""
